# ./sample_venc 0
READ_REG A= 0x31BA, D= 0x4 
READ_REG A= 0x31BB, D= 0x0 
READ_REG A= 0x31BC, D= 0x0 
READ_REG A= 0x31BD, D= 0x0 
READ_REG A= 0x31BE, D= 0x0 
READ_REG A= 0x31BF, D= 0x40 
READ_REG A= 0x31C0, D= 0x0 
READ_REG A= 0x31C1, D= 0x1F 
READ_REG A= 0x31C2, D= 0x1 
READ_REG A= 0x31C3, D= 0x0 
READ_REG A= 0x31C4, D= 0x16 
READ_REG A= 0x31C5, D= 0x0 
READ_REG A= 0x31C6, D= 0x0 
READ_REG A= 0x31C7, D= 0x0 
READ_REG A= 0x31C8, D= 0x0 
READ_REG A= 0x31C9, D= 0x0 
READ_REG A= 0x31CA, D= 0x0 
READ_REG A= 0x31CB, D= 0x0 
READ_REG A= 0x31CC, D= 0x0 
READ_REG A= 0x31CD, D= 0x0 
READ_REG A= 0x31CE, D= 0x40 
READ_REG A= 0x31CF, D= 0x0 
READ_REG A= 0x31D0, D= 0x4 
READ_REG A= 0x31D1, D= 0x0 
READ_REG A= 0x31D2, D= 0x40 
READ_REG A= 0x31D3, D= 0x0 
READ_REG A= 0x31D4, D= 0x4 
READ_REG A= 0x31D5, D= 0x0 
READ_REG A= 0x31D6, D= 0x0 
READ_REG A= 0x31D7, D= 0x0 
READ_REG A= 0x31D8, D= 0x1 
READ_REG A= 0x31D9, D= 0x0 
READ_REG A= 0x31DA, D= 0x0 
READ_REG A= 0x31DB, D= 0x0 
READ_REG A= 0x31DC, D= 0x1 
READ_REG A= 0x31DD, D= 0x60 
READ_REG A= 0x31DE, D= 0x0 
READ_REG A= 0x31DF, D= 0xA4 
READ_REG A= 0x31E0, D= 0x48 
READ_REG A= 0x31E1, D= 0xA1 
READ_REG A= 0x31E2, D= 0xFA 
READ_REG A= 0x31E3, D= 0x19 
READ_REG A= 0x31E4, D= 0x0 
READ_REG A= 0x31E5, D= 0x0 
READ_REG A= 0x31E6, D= 0x0 
READ_REG A= 0x31E7, D= 0x0 
READ_REG A= 0x31E8, D= 0x29 
READ_REG A= 0x31E9, D= 0x5 
READ_REG A= 0x31EA, D= 0xFF 
READ_REG A= 0x31EB, D= 0x7 
READ_REG A= 0x31EC, D= 0xE 
READ_REG A= 0x31ED, D= 0x0 
READ_REG A= 0x31EE, D= 0x0 
READ_REG A= 0x31EF, D= 0x0 
READ_REG A= 0x31F0, D= 0x1 
READ_REG A= 0x31F1, D= 0x0 
READ_REG A= 0x31F2, D= 0x0 
READ_REG A= 0x31F3, D= 0x0 
READ_REG A= 0x31F4, D= 0x78 
READ_REG A= 0x31F5, D= 0x4 
READ_REG A= 0x31F6, D= 0x0 
READ_REG A= 0x31F7, D= 0x0 
READ_REG A= 0x31F8, D= 0x0 
READ_REG A= 0x31F9, D= 0x0 
READ_REG A= 0x31FA, D= 0x0 
READ_REG A= 0x31FB, D= 0x0 
READ_REG A= 0x31FC, D= 0x0 
READ_REG A= 0x31FD, D= 0x0 
READ_REG A= 0x31FE, D= 0x0 

READ_REG A= 0x3200, D= 0xAA 
